title,year,distributor,release_date,rating_score,summary,director,genres/0,runtime
Amour,2012,Sony Pictures Classics," December 19, 2012",8,"Georges and Anne are in their eighties. They are cultivated, retired music teachers. Their daughter, who is also a musician, lives abroad with her family. One day, Anne has an attack. The couple's bond of love is severely tested. [Sony Pictures Classics]",Michael Haneke,Drama,127
The Hurt Locker,2009,Summit Entertainment," June 26, 2009",7.3,"When a new sergeant, James (Jeremy Renner), takes over a highly trained bomb disposal team amidst violent conflict, he surprises his two subordinates, Sanborn (Anthony Mackie) and Eldridge (Brian Geraghty), by recklessly plunging them into a deadly game of urban combat. James behaves as if he's indifferent to death. As the men struggle to… Expand",Kathryn Bigelow,Action,131
Anatomy of a Murder,1959,Columbia Pictures," July 1, 1959",8.1,"In a murder trial, the defendant says he suffered temporary insanity after the victim raped his wife. What is the truth, and will he win his case?",Otto Preminger,Drama,160
Zero Dark Thirty,2012,Columbia Pictures," December 19, 2012",6.9,"For a decade, an elite team of intelligence and military operatives, working in secret across the globe, devoted themselves to a single goal: to find and eliminate Osama bin Laden. [Columbia Pictures]",Kathryn Bigelow,Action,157
Collective,2020,Magnolia Pictures," November 20, 2020",7.8,"Collective follows a heroic team of journalists as they uncover shocking, widespread corruption. After a deadly nightclub fire, the mysterious death of the owner of a powerful pharmaceutical firm, and the quiet resignation of a health minister—seemingly unrelated events, all within weeks of each other—the team of intrepid reporters exposes… Expand",Alexander Nanau,Documentary,109
A Separation,2011,Sony Pictures Classics," December 30, 2011",8.8,"Set in contemporary Iran, A Separation is a compelling drama about the dissolution of a marriage. Simin wants to leave Iran with her husband Nader and daughter Termeh. Simin sues for divorce when Nader refuses to leave behind his Alzheimer-suffering father. Her request having failed, Simin returns to her parents' home, but Termeh decides to

… Expand",Asghar Farhadi,Drama,123
Double Indemnity,1944,Paramount Pictures," July 6, 1944",8.5,An insurance representative lets himself be talked into a murder/insurance fraud scheme that arouses an insurance investigator's suspicions.,Billy Wilder,Drama,107
WALL-E,2008,Walt Disney Studios Motion Pictures," June 27, 2008",8.8,"After hundreds of lonely years of doing what he was built for, Wall-E discovers a new purpose in life when he meets a sleek search robot named EVE. [Walt Disney Pictures]",Andrew Stanton,Adventure,98
Carol,2015,"Weinstein Company, The"," November 20, 2015",8,"Set in 1950s New York, two women from very different backgrounds find themselves in the throes of love. A young woman in her 20s, Therese Belivet (Rooney Mara), is a clerk working in a Manhattan department store and dreaming of a more fulfilling life when she meets Carol (Cate Blanchett), an alluring woman trapped in a loveless, convenient… Expand",Todd Haynes,Drama,118
Before Midnight,2013,Sony Pictures Classics," May 24, 2013",8.3,"In this follow-up to Before Sunrise and Before Sunset, we meet Jesse and Celine nine years later in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.",Richard Linklater,Drama,109
Dunkirk,2017,Warner Bros.," July 21, 2017",8.3,Dunkirk opens as hundreds of thousands of British and Allied troops are surrounded by enemy forces. Trapped on the beach with their backs to the sea they face an impossible situation as the enemy closes in. [Warner Bros.],Christopher Nolan,Action,106
The Man Who Shot Liberty Valance,1962,Paramount Pictures," April 22, 1962",8.6,"A senator, who became famous for killing a notorious outlaw, returns for the funeral of an old friend and tells the truth about his deed.",John Ford,Drama,123
The Searchers,1956,Warner Bros.," May 26, 1956",7.4,An American Civil War veteran embarks on a journey to rescue his niece from the Comanches.,John Ford,Adventure,119
45 Years,2015,Sundance Selects," December 23, 2015",7.3,"There is just one week until Kate Mercer's (Charlotte Rampling) 45th wedding anniversary and the planning for the party is going well. But then a letter arrives for her husband (Tom Courtenay). The body of his first love has been discovered, frozen and preserved in the icy glaciers of the Swiss Alps. By the time the party is upon them, five… Expand",Andrew Haigh,Drama,95
Taxi Driver,1976,Columbia Pictures," February 7, 1976",7.7,Scorsese’s 1976 masterpiece is the all-too-real story of a psychotic New York cabby who is driven to violence in an attempt to rescue a teenage prostitute. [Sony],Martin Scorsese,Drama,114
The Servant,1964,Landau Releasing Organization (LRO)," March 16, 1964",7.5,The Servant looks at the decaying British class system through the relationship between an aristocrat and his scheming butler.,Joseph Losey,Drama,116
Pulp Fiction,1994,Miramax Films," October 14, 1994",9,Several inter-locking stories of crime and intrigue form a temporal mosaic set in the Los Angeles underworld.,Quentin Tarantino,Drama,154
Pulp Fiction,1994,Miramax Films," October 14, 1994",9,Several inter-locking stories of crime and intrigue form a temporal mosaic set in the Los Angeles underworld.,Quentin Tarantino,Drama,154
The Manchurian Candidate,1962,United Artists," October 24, 1962",8.1,John Frankenheimer's gripping political thriller about a group of American soldiers who are captured and brainwashed into becoming sleeper agents. (MGM),John Frankenheimer,Drama,126
Mr. Turner,2014,Sony Pictures Classics," December 19, 2014",6.9,"Mr. Turner explores the last quarter century of the life of the great if eccentric British painter J.M.W. Turner (Timothy Spall). Profoundly affected by the death of his father, loved by a housekeeper he takes for granted and occasionally exploits sexually, he forms a close relationship with a seaside landlady with whom he eventually lives… Expand",Mike Leigh,Biography,150
The Irishman,2019,Netflix," November 1, 2019",8.1,"The Irishman is an epic saga of organized crime in post-war America told through the eyes of World War II veteran Frank Sheeran (Robert De Niro), a hustler and hitman who worked alongside some of the most notorious figures of the 20th Century. Spanning decades, the film chronicles one of the greatest unsolved mysteries in American history,… Expand",Martin Scorsese,Biography,209
Amazing Grace,2018,Neon," November 23, 2018",8.1,"A documentary presenting Aretha Franklin with choir at the New Bethel Baptist Church in Watts, Los Angeles in January 1972.",Alan Elliott,Documentary,87
Grave of the Fireflies (1988),1989,Toho Company," July 26, 1989",8.9,A young boy and his little sister struggle to survive in Japan during World War II.,Isao Takahata,Drama,89
The Wild Child,1970,Les Artistes Associés," September 11, 1970",6.5,"In a French forest in 1798, a child is found who cannot walk, speak, read or write. A doctor becomes interested in the child and patiently attempts to civilize him.",François Truffaut,Drama,83
Shadow of a Doubt,1943,Universal Pictures," January 15, 1943",8.2,A young woman discovers her visiting uncle may not be the man he seems to be.,Alfred Hitchcock,Thriller,108
Inside Out,2015,Walt Disney Studios Motion Pictures," June 19, 2015",8.7,"Growing up can be a bumpy road, and it’s no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions: Joy (Amy Poehler), Fear (Bill Hader), Anger (Lewis Black), Disgust (Mindy Kaling) and Sadness (Phyllis Smith). The emotions live in… Expand",Pete Docter,Adventure,94
Sideways,2004,Fox Searchlight Pictures," October 22, 2004",7,"Two old friends set off on a wine-tasting road trip...only to veer dizzily sideways into a wry, comedic exploration of the crazy vicissitudes of love and friendship, the damnable persistence of loneliness and dreams and the enduring war between Pinot and Cabernet. [Fox Searchlight Pictures]",Alexander Payne,Drama,126
Schindler's List,1993,Universal Pictures," December 15, 1993",8.8,Steven Spielberg's epic drama tells the compelling true story of German businessman Oskar Schindler (Neeson) who comes to Nazi-occupied Poland looking for economic prosperity and leaves as a savior. (History in Film),Steven Spielberg,Biography,195
Meet Me in St. Louis,1945,Metro-Goldwyn-Mayer (MGM)," January 1, 1945",6.7,Young love and childish fears highlight a year in the life of a turn-of-the-century family.,Vincente Minnelli,Drama,113
The Apartment,1960,United Artists," June 15, 1960",7.8,"A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",Billy Wilder,Drama,125
Apocalypse Now,1979,United Artists," August 15, 1979",8.7,"During the Vietnam War, Captain Willard is sent on a dangerous mission into Cambodia to assassinate a renegade colonel who has set himself up as a god among a local tribe.",Francis Ford Coppola,Action,153
The Gunfighter,1950,Twentieth Century Fox," June 23, 1950",6.8,"Notorious gunfighter Jimmy Ringo rides into town to find his true love, who doesn't want to see him. He hasn't come looking for trouble, but trouble finds him around every corner.",Henry King,Western,85
We Were Here,2011,Red Flag Releasing (RFR)," September 9, 2011",6.6,"We Were Here documents the coming of what was called the “Gay Plague” in the early 1980s. It illuminates the profound personal and community issues raised by the AIDS epidemic as well as the broad political and social upheavals it unleashed. It offers a cathartic validation for the generation that suffered through, and responded to, the… Expand",Bill Weber,Documentary,90
Faces Places,2017,Cohen Media Group," October 6, 2017",6.9,"89-year old Agnes Varda, one of the leading figures of the French New Wave, and acclaimed 33 year-old French photographer and muralist JR teamed up to co-direct this enchanting documentary/road movie. Kindred spirits, Varda and JR share a lifelong passion for images and how they are created, displayed and shared. Together they travel around… Expand",Agnès Varda,Documentary,89
Chimes at Midnight,1967,Compagnie Française de Distribution Cinématographique (CFDC)," March 17, 1967",-1,"The career of Shakespeare's Sir John Falstaff (Orson Welles) as a roistering companion to young Prince Hal (Keith Baxter), circa 1400 to 1413.",Orson Welles,Drama,119
The Lord of the Rings: The Return of the King,2003,New Line Cinema," December 17, 2003",8.8,"Sauron's forces have laid siege to Minas Tirith, the capital of Gondor, in their efforts to eliminate the race of men. The once-great kingdom, watched over by a fading steward, has never been in more desperate need of its king. But can Aragorn (Viggo Mortensen) answer the call of his heritage and become what he was born to be? In no small… Expand",Peter Jackson,Action,201
Carlos,2010,IFC Films," October 15, 2010",7.9,"Carlos tells the story of Ilich Ramirez Sanchez who, for two decades, was one of the most wanted terrorists, on the planet. Between 1974 and 1994, he lived several lives under various pseudonyms, weaving his way through the complexities of international politics of the period. [IFC Films]",Olivier Assayas,Biography,325
Marriage Story,2019,Netflix," November 6, 2019",8.1,An incisive and compassionate portrait of a marriage breaking up and a family staying together.,Noah Baumbach,Drama,137
