title,year,distributor,release_date,rating_score,summary,director,genres/0,runtime 
Lenny Cooke,2013,," December 6, 2013",-1,"In 2001, Lenny Cooke was the most hyped high school basketball player in the country, ranked above future greats LeBron James, Amar’e Stoudemire and Carmelo Anthony. A decade later, Lenny has never played a minute in the NBA. In this quintessentially American documentary, filmmaking brothers Joshua and Benny Safdie track the unfulfilled… Expand",Ben Safdie,Biography,88
Fido,2007,Lionsgate," June 15, 2007",8,"When his mom brings a zombie servant home, Timmy discovers a new best friend and names him Fido. Sometimes, it takes a dead man to teach us all what it means to be alive. (Roadside Attractions)",Andrew Currie,Drama,93
"Black Coal, Thin Ice",-1,, TBA,-1,"A detective links a series of murders to a mysterious woman, only finding himself drawn to her helplessly. In the mean time, he slowly starts to realize a murder case from five years ago was not solved after all.",Yi'nan Diao,Drama,106
"Hallelujah: Leonard Cohen, a Journey, a Song",2022,Sony Pictures Classics," July 1, 2022",-1,"Hallelujah: Leonard Cohen, A Journey, A Song is a definitive exploration of singer-songwriter Leonard Cohen as seen through the prism of his internationally renowned hymn, Hallelujah. This feature-length documentary weaves together three creative strands: The songwriter and his times. The song’s dramatic journey from record label reject to… Expand",Daniel Geller,Biography,118
Kurt Vonnegut: Unstuck in Time,2021,IFC Films," November 19, 2021",-1,Recounting the extraordinary life of author Kurt Vonnegut and the 25-year friendship with the filmmaker who set out to document it.,Don Argott,Documentary,127
Pieces of April,2003,United Artists," October 17, 2003",8,"Poignant and funny, Pieces of April is an up-close look at an extraordinary day in the life of the not-so-ordinary Burns family. (MGM)",Peter Hedges,Drama,80
Adanggaman,2001,New Yorker Films," July 11, 2001",-1,"Set in the late 17th century on the Western coast of Africa, Adanggaman is a provocative retelling of the African slave experience, based on historical facts. (Film Forum)",Roger Gnoan M'Bala,Drama,90
Mein liebster Feind - Klaus Kinski,1999,New Yorker Films," November 5, 1999",6.3,Werner Herzog's documentary profiles his turbulent relationship with the actor Klaus Kinski over the course of the five feature films they made together.,Werner Herzog,Biography,95
The School of Flesh,1999,Stratosphere Entertainment," February 26, 1999",-1,"A divorcee picks up the bartender at a gay bar, and the two discover conflicted passion in each other's arms.",Benoît Jacquot,Drama,110
Your Friends & Neighbors,1998,Gramercy Pictures (I)," August 21, 1998",5,Six urbanites play musical beds.,Neil LaBute,Drama,100
Faults,2015,Screen Media Films," March 6, 2015",8,"Claire (Mary Elizabeth Winstead) is under the grip of a mysterious new cult called Faults. Desperate to be reunited with their daughter, Claire’s parents recruit one of the world’s foremost experts on mind control, Ansel Roth (Leland Orser).",Riley Stearns,Drama,89
Bad Santa,2003,Dimension Films," November 26, 2003",8.6,"The story of two criminals who disguise themselves as Santa Claus and his elf, traveling across the country to malls and taking advantage of the good will people have towards Santa to rob the stores blind.",Terry Zwigoff,Drama,91
Waking Sleeping Beauty,2010,Walt Disney Studios Motion Pictures," March 26, 2010",7.5,"Waking Sleeping Beauty is no fairytale. It is a story of clashing egos, out of control budgets, escalating tensions... and one of the most extraordinary creative periods in animation history. Director Don Hahn and producer Peter Schneider, key players at Walt Disney Studios Feature Animation department during the mid-1980s, offer a… Expand",Don Hahn,Documentary,86
The Nile Hilton Incident,2017,Strand Releasing," August 11, 2017",7.4,"Weeks before the 2011 Egyptian revolution, Noredin (Fares Fares), a police officer in Cairo’s corrupt system, investigates the murder of a famous club singer at the Nile Hilton Hotel. What initially seems to be a crime of passion turns into something that concerns the very power elite of Egypt. Upon realizing this, Noredin decides to break… Expand",Tarik Saleh,Drama,106
Killing Them Safely,2015,IFC Films," November 27, 2015",6,"Hundreds of deaths. Zero oversight. In the early 2000s, brothers Tom and Rick Smith revolutionized policing by marketing the Taser to law enforcement agencies. This supposedly safe alternative to handguns was supposed to curb the use of deadly force—so why have over 500 people died from Taser-related injuries since? At a time when questions… Expand",Nick Berardini,Drama,100
It Might Get Loud,2009,Sony Pictures Classics," August 14, 2009",8.3,"Rarely can a film penetrate the glamorous surface of rock legends. It Might Get Loud tells the personal stories, in their own words, of three generations of electric guitar virtuosos – The Edge (U2), Jimmy Page (Led Zeppelin), and Jack White (The White Stripes). It reveals how each developed his unique sound and style of playing favorite… Expand",Davis Guggenheim,Music,98
Places in the Heart,1984,TriStar Pictures," October 5, 1984",8.1,"In central Texas in the 1930s, a widow, with two small children, tries to run her small 40-acre farm with the help of two disparate people.",Robert Benton,Drama,111
Color Out of Space,2020,RLJE Films," January 24, 2020",6.1,"After a meteorite lands in the front yard of their farm, Nathan Gardner (Nicolas Cage) and his family find themselves battling a mutant extraterrestrial organism as it infects their minds and bodies, transforming their quiet rural life into a technicolor nightmare.",Richard Stanley,Sci-Fi,111
District B13,2006,Magnolia Pictures," June 2, 2006",8.1,"Paris, 2010. An isolation wall surrounds the ghetto cities. Without effective law enforcement, with these walls, gang rule is absolute. [Magnolia Pictures]",Pierre Morel,Action,84
Cronos,1994,October Films," March 30, 1994",7.5,Jesus Gris discovers a mechanized scarab that causes a need for blood to those who are stabbed by it.,Guillermo del Toro,Drama,94
Yellow Rose,2020,Sony Pictures Entertainment," October 9, 2020",7.4,a Filipina teen from a small Texas town fights to pursue her dreams as a country music performer while having to decide between staying with her family or leaving the only home she has known.,Diane Paragas,Drama,94
Warlords,2010,Magnet Releasing," April 2, 2010",6.3,"Set in the midst of war and political upheaval during the Taiping Rebellion of the 1860s, WARLORDS stars Jet Li as General Pang, who barely survives a brutal massacre of his fellow soldiers by playing dead, and joins a band of bandits led by Er Hu and Wu Yang. After fighting back attackers from an helpless village, the three men take an… Expand",Peter Chan,Action,126
The Peanut Butter Falcon,2019,Roadside Attractions," August 9, 2019",7.6,"Zak (Zack Gottsagen), a young man with Down syndrome, runs away from a residential nursing home to follow his dream of attending the professional wrestling school of his idol, The Salt Water Redneck (Thomas Haden Church). A strange turn of events pairs him on the road with Tyler (Shia LaBeouf), a small time outlaw on the run, who becomes… Expand",Mike Schwartz,Adventure,97
"Standing Up, Falling Down",2020,Shout! Factory," February 21, 2020",6.6,"After four years of chasing his stand-up comedy dream in Los Angeles, 34-year-old Scott Rollins (Ben Schwartz) has crashed and burned. Hard. Left with little money and a fledgling at best “career”, Scott has no choice but to regroup, lick his wounds, and return home to his parent’s house in Long Island. While trying to figure out what to do… Expand",Matt Ratner,Drama,91
Madonna: Truth or Dare,1991,Acteurs Auteurs Associés (AAA)," May 24, 1991",-1,Documentary following singer Madonna on her controversial Blond Ambition tour in 1990.,Alek Keshishian,Music,120
Double Lover,2018,Cohen Media Group," February 14, 2018",6.1,"Chloé (Marine Vacth), who works as a guard at a museum in Paris, seeks to shore up her resiliency and enters psychoanalysis. In Paul Meyer (Jérémie Renier), the sensitive patient finds a caring psychiatrist who helps her overcome bouts with depression. Following the end of the treatment, both realize that they have fallen in love. A new… Expand",François Ozon,Drama,107
Epicentro,2020,Kino Lorber,"Release Date (Streaming): August 28, 2020",-1,"Epicentro is an immersive and metaphorical portrait of post-colonial, ""utopian"" Cuba, where the 1898 explosion of the USS Maine still resonates. This Big Bang ended Spanish colonial dominance in the Americas and ushered in the era of the American Empire. At the same time and place, a powerful tool of conquest was born: cinema as propaganda.… Expand",Hubert Sauper,Documentary,108
The Cleaners,2018,," November 23, 2018",5.5,"When you post something on the web, can you be sure it stays there? Enter a hidden shadow industry of digital cleaning where the Internet rids itself of what it doesn't like - violence, pornography and - political content. Who is controlling what we see and what we think?",Hans Block,Documentary,88
Berlin Syndrome,2017,Netflix," May 26, 2017",6,"While holidaying in Berlin, Australian photographer, Clare (Teresa Palmer), meets Andi (Max Riemelt), a charismatic local man and there is an instant attraction between them. A night of passion ensues. But what initially appears to be the start of a romance, takes an unexpected and sinister turn when Clare wakes the following morning to… Expand",Cate Shortland,Drama,116
Summertime,2021,Good Deed Entertainment," July 9, 2021",-1,"Over the course of a hot summer day in Los Angeles, the lives of 25 young Angelinos intersect. A skating guitarist, a tagger, two wannabe rappers, an exasperated fast-food worker, a limo driver—they all weave in and out of each other’s stories. Through poetry they express life, love, heartache, family, home, and fear. One of them just… Expand",Carlos López Estrada,Drama,95
The Day Shall Come,2019,IFC Films," September 27, 2019",6.4,Before you can win the war on terror you need a terrorist—even if you have to invent one yourself. Moses Al Shabaz (Marchánt Davis) is a small-time Miami street preacher whose far-fetched revolutionary ideas find unexpected legitimacy when a Middle Eastern terrorist organization offers to help fund his dream of overthrowing the US… Expand,Christopher Morris,Comedy,87
I.O.U.S.A.,2008,Roadside Attractions," August 22, 2008",6.5,"The United States faces an enemy of epic proportions. It's not something you can see on CNN or YouTube. It's not as overtly in your face as wars, natural disasters or terrorism. But this invisible, insidious monster is rapidly growing into a behemoth, threatening to spark an unthinkable catastrophe that will impact the future of the… Expand",Patrick Creadon,Documentary,85
Fearless,2006,Rogue Pictures," September 22, 2006",8.3,"Jet Li's Fearless reunites the actor and marital arts superstar with producer Bill Kong (""Hero"") and action choreographer Yuen Wo Ping (""Unleashed"") as he portrays martial arts legend Huo Yuanjia, who became the most famous fighter in all of China at the turn of the 20th Century. (Rogue Pictures)",Ronny Yu,Action,103
Big Trouble,1986,Columbia Pictures," May 30, 1986",-1,Insurance agent plots with client to kill her nutty husband.,John Cassavetes,Comedy,93
"Farewell, My Lovely",1975,AVCO Embassy Pictures," August 8, 1975",8.2,"Los Angeles private eye Philip Marlowe is hired by paroled convict Moose Malloy to find his girlfriend Velma, former seedy nightclub dancer.",Dick Richards,Mystery,95
Louder Than Bombs,2016,"Orchard, The"," April 8, 2016",6.9,An upcoming exhibition celebrating photographer Isabelle Reed(Isabelle Huppert) three years after her untimely death brings her eldest son Jonah (Jesse Eisenberg) back to the family house - forcing him to spend more time with his father Gene (Gabriel Byrne) and withdrawn younger brother Conrad (Devin Druid) than he has in years. With the… Expand,Joachim Trier,Drama,109
Cedar Rapids,2011,Fox Searchlight Pictures," February 11, 2011",7,"To call insurance agent Tim Lippe, ""naive"" is a gross understatement. He's never left his small hometown. He's never stayed at a hotel. And he's never experienced anything like Cedar Rapids, Iowa. Sent to represent his company at the annual insurance convention, Tim is soon distracted by three convention veterans who will show him the ropes
… Expand",Miguel Arteta,Comedy,86
What Josiah Saw,2022,Shudder,"Release Date (Streaming): August 4, 2022",-1,"A family with buried secrets reunite at a farmhouse to pay for their past sins. Josiah (Robert Patrick) and his youngest son, Thomas (Scott Haze), are all that remain of an estranged family. But after experiencing terrifying visions from beyond, Josiah decides they must change their ways to right a great wrong. After being away for over… Expand",Vincent Grashaw,Thriller,120
At the Edge of the World,2009,," August 28, 2009",-1,"The 3rd Antarctic Campaign undertaken by the controversial Sea Shepherd Conservation Society was arguably ""the perfect combination of imperfections"" and the actions taken to stop a Japanese whaling fleet were astonishingly reckless and admirable. The international volunteer crew, though under-trained and poorly equipped, has developed a… Expand",Dan Stone,Action,90
Cocote,2018,Grasshopper Film," August 3, 2018",-1,"Alberto, a kind-hearted gardener, returns home to attend his father’s funeral in the Dominican Republic. When he discovers that a powerful local figure is responsible for his father’s death, Alberto realizes that he’s been summoned by his family to avenge the murder. It’s an unthinkable act — especially for him, an Evangelical Christian.… Expand",Nelson Carlo de Los Santos Arias,Drama,106
Scarred Hearts,2018,Big World Pictures," July 27, 2018",-1,"Emanuel spends his days at a sanatorium. Falling in love with another patient, he narrates his and his fellow patients' attempts to live life to the fullest as their bodies slowly fade away, but their minds refuse to give up.",Radu Jude,Biography,141
Operation Varsity Blues: The College Admissions Scandal,2021,Netflix,"Release Date (Streaming): March 17, 2021",7.2,Reenactments drive this documentary investigating the mastermind behind a scam to get the kids of rich and famous families into top US universities. [Netflix],Chris Smith,Crime,99
Sicilian Ghost Story,2018,Strand Releasing," November 30, 2018",5.8,"In a little Sicilian village at the edge of a forest, Giuseppe, a boy of 13, vanishes. Luna, his classmate who loves him, refuses to accept his mysterious disappearance. She rebels against the code of silence and collusion that surrounds her, and to find him she descends into the dark world which has swallowed him up and which has a lake as… Expand",Antonio Piazza,Drama,122
Anonymous Club,2022,Oscilloscope," July 15, 2022",-1,"Shot on vivid 16mm film over a three-year period, Anonymous Club chronicles notoriously shy, Melbourne-based musician Courtney Barnett’s ups and downs on the world tour for her album Tell Me How You Really Feel. Featuring Barnett’s unguarded narration from her audio diary, recorded on a dictaphone provided by filmmaker Danny Cohen, the film… Expand",Danny Cohen,Music,83
Who Gets to Call It Art?,2006,Palm Pictures," February 1, 2006",-1,"This documentary provides a wild ride through the NYC art scene of the 1960's, through the eyes of Henry Geldzahler, the first curator of contemporary art at the Metropolitan Museum of Art. (Film Forum)",Peter Rosen,Documentary,78
Happy Christmas,2014,Magnolia Pictures," July 25, 2014",5.5,"When Jenny (Anna Kendrick), a hard partying 20-something moves in with Kelly (Melanie Lynskey), a budding novelist, her film director husband (Joe Swanberg) and their two-year-old son after a break up, the family’s idyllic life is shaken. Jenny begins a rocky relationship with their baby sitter-cum-pot dealer (Mark Webber), and she and a… Expand",Joe Swanberg,Drama,88
Beetlejuice,1988,Warner Bros. Pictures," March 30, 1988",8.7,"What's a couple of stay-at-home ghosts to do when their beloved home is taken over by trendy yuppies? They call on Beetlejuice (Michael Keaton), the afterlife's freelance bio-exorcist to scare off the family – and everyone gets more than she, he or it bargains for! [Warner Bros]",Tim Burton,Fantasy,92
Évocateur: The Morton Downey Jr. Movie,2013,Magnolia Pictures," June 7, 2013",-1,"Before entire networks were built on populist personalities; before reality morphed into a TV genre; the masses fixated on a single, sociopathic star: controversial talk-show host Morton Downey, Jr. In the late ‘80s, Downey tore apart the traditional talk format by turning debate of current issues into a gladiator pit. His… Expand",Daniel A. Miller,Documentary,-1
Strayed,2004,Wellspring Media," May 14, 2004",7.4,"As the German army storms through Paris in June, 1940, a woman flees the city with her two children, heading south.",André Téchiné,Drama,95
Chalk,2007,Gravitas Ventures," May 11, 2007",-1,"Director Mike Akel provides a rare and realistic teacher's perspective into the absurd, provocative and occasionally volatile world of public education. (SomedaySoon Productions)",Mike Akel,Drama,85
Violation,2021,Shudder,"Release Date (Streaming): March 25, 2021",4.7,"A troubled woman on the edge of divorce returns home to her younger sister after years apart. But when her sister and brother-in-law betray her trust, she embarks on a vicious crusade of revenge.",Dusty Mancinelli,Drama,107
I Will Make You Mine,2020,Gravitas Ventures,"Release Date (Streaming): May 26, 2020",-1,"Rachel (Lynn Chen) lives in idle luxury with a cheating husband, Professor Erika (Ayako Fujitani) juggles career demands while raising her daughter Sachiko (Ayami Riley Tomine), and struggling musician Yea-Ming (Yea-Ming Chen) is still chasing a fast-fading dream. Three women who could not be more different have one thing in common: their… Expand",Lynn Chen,Drama,80
Mohawk,2018,," March 2, 2018",5.8,"After one of her tribe sets an American camp ablaze, a young Mohawk warrior finds herself pursued by a contingent of military renegades set on revenge. Fleeing deep into the woods they call home, Oak and Calvin, along with their British companion Joshua, must now fight back against the bloodthirsty Colonel Holt and his soldiers -- using… Expand",Ted Geoghegan,Action,91
Lars and the Real Girl,2007,Metro-Goldwyn-Mayer (MGM)," October 12, 2007",7.9,"Lars and the Real Girl is the touching, amusing, and humorous story about a man whose emotional baggage has kept him from fully embracing life. After years of what is almost solitude, Lars invites Bianca, a friend he met on the Internet, to visit him. He introduces Bianca to his brother Gus and his wife Karen and they are stunned. They… Expand",Craig Gillespie,Drama,106
In Pursuit of Silence,2017,"Cinema Guild, The"," June 23, 2017",-1,"In Pursuit of Silence is a meditative exploration of our relationship with silence, sound and the impact of noise on our lives. Beginning with an ode to John Cage’s ground-breaking composition 4’33”, In Pursuit of Silence takes us on an immersive cinematic journey around the globe– from a traditional tea ceremony in Kyoto, to the streets of… Expand",Patrick Shen,Documentary,81
Boy,2012,Paladin (II)," March 2, 2012",7.3,"Boy is a dreamer who loves Michael Jackson. He lives with his brother Rocky, a tribe of deserted cousins and his Nan. Boy’s other hero, his father, Alamein, is the subject of Boy’s fantasies, and he imagines him as a deep sea diver, war hero and a close relation of Michael Jackson (he can even dance like him). In reality he’s “in the can… Expand",Taika Waititi,Drama,87
Clerks,1994,Miramax Films," October 19, 1994",8.4,"It's one wild day in the life of a pair of overworked counter jockeys, whose razor-sharp wit and on-the-job antics give a whole new meaning to customer service. Even while braving a nonstop parade of unpredictable shoppers, the clerks manage to play hockey on the roof, visit a funeral home and straighten out their offbeat love lives. The… Expand",Kevin Smith,Comedy,92
The Fabulous Filipino Brothers,2022,1091 Pictures,"Release Date (Streaming): February 8, 2022",-1,Follows four brothers and their shenanigans.,Dante Basco,Comedy,99
Tears of the Black Tiger,2007,Magnolia Pictures," January 12, 2007",6.3,"Tears of the Black Tiger takes a journey back to a lost past -- the heroic years of Thai genre cinema, when influences from Hollywood and everywhere else were subsumed into rollicking Thai melodramas for an audience of avid fans. (Magnolia Pictures)",Wisit Sasanatieng,Action,110
Thumbsucker,2005,Sony Pictures Classics," September 16, 2005",7.1,"An honest and funny look at the struggles of people who feel deeply flawed, both those in youth and middle age. They yearn to be anything but their real selves with their real fears and doubts. Instead, they want to be ""normal."" They look for magic answers to fix themselves – only to realize that they can’t be someone else, that ""normal""… Expand",Mike Mills,Drama,96
The Cruise,1998,Artisan Entertainment," October 23, 1998",-1,"Timothy ""Speed"" Levitch, a tour guide for Manhattan's Gray Line double-decker buses, talks fast, is in love with the city, and dispenses historical facts, architectural analysis, and philosophical musings in equal measures. He's reflective and funny about cruising: he loves it, got in it to meet women, and he'd quit work if he could. His… Expand",Bennett Miller,Documentary,76
Kicks,2016,Focus World," September 9, 2016",6.9,"Fifteen-year-old Brandon longs for a pair of the freshest sneakers that money can buy; assuming that merely having them on his feet will help him escape the reality of being poor, neglected by the opposite sex and picked on by everyone -- even his best friends. Working hard to get them, he soon finds that the titular shoes have instead made… Expand",Justin Tipping,Adventure,80
The Defiant Ones,1958,United Artists," September 27, 1958",7.5,"Two escaped convicts chained together, white and black, must learn to get along in order to elude capture.",Stanley Kramer,Drama,96
Inglourious Basterds,2009,"Weinstein Company, The"," August 21, 2009",7.8,"In the first year of the German occupation of France, Shosanna Dreyfus witnesses the execution of her family at the hand of Nazi Colonel Hans Landa. Shosanna narrowly escapes and flees to Paris where she forges a new identity as the owner and operator of a cinema. Elsewhere in Europe, lieutenant Aldo Raine organizes a group of Jewish
… Expand",Eli Roth,Drama,153
The Mermaid,2016,Sony Pictures Releasing," February 19, 2016",7.1,"Xuan's (Deng Chao) real estate project involves reclamation of the sea and threatens the livelihood of the mermaids who live there. The mermaid Shan (Lin Yun) is dispatched to stop Xuan, but they fall in love. Out of his love for Shan, Xuan plans to stop the project. Unfortunately, Shan and the other mermaids are hunted by a hidden… Expand",Stephen Chow,Sci-Fi,94
Dragon: The Bruce Lee Story,1993,Universal Pictures," May 7, 1993",6.8,"From a childhood of rigorous martial arts training, Bruce Lee (Jason Scott Lee) realizes his dream of opening his own kung-fu school in America. Before long, he is discovered by a Hollywood producer (Robert Wagner) and begins a meteoric rise to fame and an all too short reign as one of the most charismatic action heroes in motion picture history.",Rob Cohen,Action,120
Never Let Me Go,2010,Fox Searchlight Pictures," September 15, 2010",7.6,"Kathy, Tommy and Ruth live in a world and a time that feel familiar to us, but are not quite like anything we know. They spend their childhood at Hailsham, a seemingly idyllic English boarding school. When they leave the shelter of the school and the terrible truth of their fate is revealed to them, they must also confront the deep feelings
… Expand",Mark Romanek,Drama,103
Batman,1989,Warner Bros. Pictures," June 23, 1989",8.1,Tim Burton's 1989 Blockbuster introduces us to the origins of Gotham City's fearless crimestopper Batman (Keaton) and his arch-enemy The Joker (Nicholson).,Tim Burton,Thriller,126
In Another Country,2012,Kino Lorber," November 9, 2012",6.4,"A young film student and her mother run away to the seaside town of Mohang to escape their mounting debt. The young woman begins writing a script for a short film in order to calm her nerves. Three women named Anne appear, and each woman consecutively visits the seaside town of Mohang. The first Anne is a successful film director. The… Expand",Sang-soo Hong,Drama,89
Why Don't You Just Die!,2020,Arrow Video,"Release Date (Streaming): April 20, 2020",7.6,"Matvey has just one objective: to gain entry to his girlfriend's parents' apartment and kill her father Andrey with a hammer to restore her honour. But all is not as it initially seems, and Matvey's attempts to bludgeon the family patriarch to death don't quite go to plan as Andrey proves a more formidable - not to mention ruthless -
… Expand",Kirill Sokolov,Drama,99
Babel,2006,Paramount Vantage," October 27, 2006",6.7,"In the remote sands of the Moroccan desert, a rifle shot rings out -- detonating a chain of events that will link an American tourist couple's frantic struggle to survive, two Moroccan boys involved in an accidental crime, a nanny illegally crossing into Mexico with two American children and a Japanese teen rebel whose father is sought by… Expand",Alejandro González Iñárritu,Drama,143
Man from Reno,2015,Gravitas Ventures," March 27, 2015",6.2,"In a small town south of San Francisco, Sheriff Paul Del Moral (Pepe Serna) is driving home through the fog when he accidentally strikes a pedestrian, a lone Japanese man. However, before an investigation can take place the man disappears from the hospital without a trace. At the same time, Japanese mystery author Aki Akahori (Ayako… Expand",Dave Boyle,Drama,111
Unstoppable,2010,Twentieth Century Fox Film Corporation," November 12, 2010",7,An unmanned runaway train is carrying a cargo of toxic chemicals. An engineer and his conductor find themselves in a race against time. (Firm Films),Tony Scott,Action,98
The Bad Lieutenant: Port of Call - New Orleans,2009,First Look Pictures," November 20, 2009",6.8,"In Werner Herzog’s new film Bad Lieutenant: Port Of Call New Orleans, Nicolas Cage plays a rogue detective who is as devoted to his job as he is at scoring drugs -- while playing fast and loose with the law. He wields his badge as often as he wields his gun in order to get his way. In the aftermath of Hurricane Katrina he becomes a… Expand",Werner Herzog,Drama,122
Brave,2012,Walt Disney Studios Motion Pictures," June 22, 2012",7.2,"Brave follows the heroic journey of Merida, a skilled archer and headstrong daughter of King Fergus and Queen Elinor. Determined to change her fate, Merida defies an age-old custom sacred to the unruly and uproarious lords of the land: massive, surly Lord Macintosh and cantankerous Lord Dingwall, unleashing chaos in the kingdom. When she
… Expand",Brenda Chapman,Action,93
Viva,2016,Magnolia Pictures," April 29, 2016",7.7,"Jesus (Héctor Medina) is a hairdresser for a troupe of drag performers in Havana, but dreams of being a performer. When he finally gets his chance to be on stage, a stranger emerges from the crowd and punches him in the face. The stranger is his father Angel, a former boxer, who has been absent from his life for 15 years. As father and son… Expand",Paddy Breathnach,Drama,100
Old Henry,2021,Shout! Factory," October 1, 2021",7.3,"Old Henry is an action western about a widowed farmer and his son who warily take in a mysterious, injured man with a satchel of cash. When a posse of men claiming to be the law come for the money, the farmer must decide who to trust. Defending a siege of his homestead, the farmer reveals a talent for gun-slinging that surprises everyone… Expand",Potsy Ponciroli,Western,99
Trading Places,1983,Paramount Pictures," June 8, 1983",8.2,"Billy Ray Valentine (Murphy), a street con man and Louis Winthorpe III, a commodities broker (Aykroyd) agree to trade places after monied Mortimer Duke (Ameche) bets Billy Ray could pull in more money than Louis could on the streets.",John Landis,Comedy,118
Slither,2006,Universal Pictures," March 31, 2006",6.6,"Slither is an edgy blend of heart-stopping terror, wry humor and surprising humanity from genre-bending screenwriter James Gunn, whose ""Dawn of the Dead"" became one of 2004's most surprising hits. (Universal)",James Gunn,Sci-Fi,95
Girlhood,2003,," October 29, 2003",7.2,"A story of mothers and daughters, crime and its consequences, and ceaseless striving in the face of inconceivable adversity, girlhood is a testament to the faith and struggles of two young girls just trying to grow up. (Moxie Firecracker Films)",Liz Garbus,Crime,82
Undercover Brother,2002,Universal Pictures," May 31, 2002",7.6,A live-action comedy based on Urban Media's popular website series.,Malcolm D. Lee,Action,86
Amélie,2001,Miramax Films," November 2, 2001",7.6,"Amélie, a young waitress in a tiny Parisian café, discovers an old box of childhood treasures hidden beneath her apartment floorboards which leads her on an odyssey to transform the lives of her neighbors, and perhaps even her own.",Jean-Pierre Jeunet,Comedy,122
Enter the Void,2010,IFC Films," September 24, 2010",7.1,"Nathaniel Brown and Paz de la Huerta star in the visceral journey set against the thumping, neon club scene of Tokyo, which hurls the viewer into an astonishing trip through life, death, and the universally wonderful and horrible moments between. (IFC Films)",Gaspar Noé,Drama,161
Dung che sai duk,2008,HKFM," October 10, 2008",7,"The film is set in five parts, five seasons that are part of the Chinese almanac. The story takes place in the jianghu, the world of the martial arts. Ouyang Feng has lived in the western desert for some years. He left his home in White Camel Mountain when the woman he loved chose to marry his elder brother rather than him. Instead of… Expand",Kar Wai Wong,Action,100
Only the Animals,2021,Cohen Media Group," October 29, 2021",-1,"Following the disappearance of glamorous housewife Evelyne Ducat (Valeria Bruni Tedeschi) in the French highlands, the lives of five people inextricably linked to Evelyne are brought together to devastating effect as the local police investigate the case.",Dominik Moll,Drama,116
The Donut King,2020,Greenwich Entertainment," October 30, 2020",-1,"Ted Ngoy's story is one of fate, love, survival, hard knocks, and redemption. It’s the rags to riches story of a refugee escaping Cambodia, arriving in America in 1975 and building an unlikely multi-million-dollar empire baking America’s favorite pastry, the donut. Ted sponsored hundreds of visas for incoming refugees and helped them get on

… Expand",,Documentary,98
Eating Animals,2018,IFC Films," June 15, 2018",8.3,"How much do you know about the food that’s on your plate? Based on the bestselling book by Jonathan Safran Foer and narrated by co-producer Natalie Portman, Eating Animals is an urgent, eye-opening look at the environmental, economic, and public health consequences of factory farming. Tracing the history of food production in the United… Expand",Christopher Dillon Quinn,Documentary,94
Revolutionary Road,2008,DreamWorks Distribution," December 26, 2008",7.3,"Adapted from the landmark novel by Richard Yates, Revolutionary Road is an incisive portrait of an American marriage seen through the eyes of Frank and April Wheeler. Yates’ story of 1950’s America poses a question that has been reverberating through modern relationships ever since: can two people break away from the ordinary without… Expand",Sam Mendes,Drama,119
Live Free or Die Hard,2007,Twentieth Century Fox Film Corporation," June 27, 2007",6.9,"In a season overflowing with CGI Fantasy, Live Free or Die Hard gets real - with real action, real humor and a relatable everyman hero: John McClane. On the July 4th holiday, and attack on the vulnerable United States infrastructure begins to shut down the entire nation. The mysterious figure behind the scheme has figured out every modern… Expand",Len Wiseman,Action,128
Up for Grabs,2005,Laemmle/Zeller Films," May 6, 2005",-1,This bitingly funny documentary exposes the custody fight that erupted over Barry Bonds' record-setting 73rd homerun ball. (Laemmle/Zeller Films),Michael Wranovics,Comedy,90
Mysterious Object at Noon,2001,Plexifilm," November 1, 2001",-1,"A mix of documentary, pseudo-documentary, and drama, this Thai movie follows an improvised story from one region of the country to another.",Apichatpong Weerasethakul,Drama,83
Censor,2021,Magnet Releasing," June 11, 2021",6.1,"Film censor Enid takes pride in her meticulous work, guarding unsuspecting audiences from the deleterious effects of watching the gore-filled decapitations and eye gougings she pores over. Her sense of duty to protect is amplified by guilt over her inability to recall details of the long-ago disappearance of her sister, recently declared… Expand",Prano Bailey-Bond,Horror,84
The Beautiful City,2006,," March 15, 2006",8.2,"In Islamic Iran, how much is a woman worth in comparison with a man -- and who pays the difference? This film is tale of vengeance, labyrinthine judicial procedure and the concept of ""blood money."" (Film Forum)",Asghar Farhadi,Drama,101
The Dead Zone,1983,Paramount Pictures," October 21, 1983",8.4,"After a car accident puts him into a coma for 5 years, teacher Johnny Smith (Christopher Walken) wakes up to discover he can see people's futures after touching them.",David Cronenberg,Drama,103
Palo Alto,2014,Tribeca Film," May 9, 2014",6.8,"Shy, sensitive April (Emma Roberts) is the class virgin—a popular soccer player and frequent babysitter for her single-dad coach, Mr. B. (James Franco). Teddy (Jack Kilmer) is an introspective artist whose best friend and sidekick Fred (Nat Wolff) is an unpredictable live wire with few filters or boundaries. While April negotiates a… Expand",Gia Coppola,Drama,100
"Yoo-Hoo, Mrs. Goldberg",2009,International Film Circuit," July 10, 2009",6.5,"From Aviva Kempner, award-winning maker of The Life and Times of Hank Greenberg, comes this humorous and eye-opening story of television pioneer Gertrude Berg. She was the creator, principal writer, and star of The Goldbergs, a popular radio show about a Jewish family living in New York City which became television’s very first… Expand",Aviva Kempner,Biography,92
Training Day,2001,Warner Bros. Pictures," October 5, 2001",8.7,A police drama about a veteran officer (Denzel Washington) who escorts a rookie (Ethan Hawke) on his first day with the LAPD's tough inner-city narcotics unit. [Warner Bros.],Antoine Fuqua,Drama,122
